timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1640645123780,4992,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,10107,193,19,19,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,4992,0,18
1640645125019,4807,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,10107,193,21,21,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,4807,0,13
1640645126790,4207,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,10107,193,21,21,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,4207,0,19
1640645125788,5220,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,10107,193,21,21,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,5220,0,14
1640645125469,5545,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,72759,236,21,21,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=882&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=5,5519,0,0
1640645127094,5234,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,44740,236,22,22,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=886&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=5,5233,0,0
1640645128791,4456,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,10107,193,23,23,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,4456,0,16
1640645129793,3476,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-21,text,true,,10107,193,23,23,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,3475,0,18
1640645128770,4949,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,22533,237,23,23,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=885&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=10,4948,0,0
1640645131015,4555,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,10107,193,24,24,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,4555,0,12
1640645131008,7321,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,32828,237,26,26,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=889&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=10,7320,0,0
1640645122354,16017,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,36488,237,26,26,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=897&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=10,16010,0,0
1640645130998,7440,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,72759,236,26,26,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=890&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=5,7420,0,0
1640645125006,13897,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,72752,236,27,27,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=884&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=5,13893,0,0
1640645115139,24405,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,185990,236,27,27,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=892&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=5,24393,0,0
1640645131799,8103,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,10107,193,27,27,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,8103,0,15
1640645132804,7737,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,10107,193,27,27,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,7737,0,14
1640645132330,8859,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,10107,193,28,28,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,8859,0,15
1640645133719,7697,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,10107,193,28,28,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,7697,0,16
1640645134810,10431,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-24,text,true,,10107,193,31,31,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,10431,0,17
1640645138333,7781,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,10107,193,31,31,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,7781,0,16
1640645141417,6932,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,36493,237,33,33,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=897&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=10,6914,0,0
1640645139548,9002,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,10107,193,33,33,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,9002,0,13
1640645135812,13002,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,10107,193,33,33,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,13002,0,17
1640645139902,9146,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,72765,236,33,33,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=894&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=5,9136,0,0
1640645140829,10687,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-28,text,true,,10107,193,35,35,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,10687,0,18
1640645115110,36924,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,91052,237,35,35,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=891&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=10,36388,0,0
1640645141830,10694,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-29,text,true,,10107,193,35,35,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,10694,0,13
1640645133269,19255,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-21,text,true,,185971,236,35,35,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=892&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=5,18755,0,0
1640645129827,22756,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,181621,236,35,35,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=888&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=5,22323,0,0
1640645144843,11083,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-31,text,true,,10107,193,38,38,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,11083,0,14
1640645146115,9820,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,72772,236,38,38,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=882&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=5,8315,0,0
1640645137817,18876,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-26,text,true,,10107,193,38,38,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,18876,0,16
1640645138439,18264,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,10107,193,38,38,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,18264,0,22
